Feature,Importance
Contract,0.4080055953081376
tenure,0.1516572977681343
MonthlyCharges,0.1385553660666439
OnlineSecurity,0.07805705441292181
TotalCharges,0.07679274244137013
TechSupport,0.053639426859065656
PaperlessBilling,0.01980629796281011
PaymentMethod,0.01685644526023527
MultipleLines,0.015760744111586646
SeniorCitizen,0.010224806543646043
InternetService,0.009274139500325617
OnlineBackup,0.008326204780704267
StreamingMovies,0.0033911494739745193
PhoneService,0.0033195592992545744
Dependents,0.002115091828508335
DeviceProtection,0.002011877612086097
gender,0.0009000833676389314
StreamingTV,0.0008228460371189134
Partner,0.00048327136583740964
