Feature,Importance
Contract,0.23154958939196416
tenure,0.15274268983393924
OnlineSecurity,0.10519352685544878
MonthlyCharges,0.09691164246842744
TotalCharges,0.09444590258373296
TechSupport,0.08810754532302478
InternetService,0.07491479012053806
PaymentMethod,0.031333994213451864
OnlineBackup,0.025876737544225748
DeviceProtection,0.0187287422691589
PaperlessBilling,0.017755057830622357
StreamingMovies,0.011305635108882037
MultipleLines,0.010544958259150474
Dependents,0.00874721749986878
StreamingTV,0.00817422377354021
Partner,0.007775212033245965
SeniorCitizen,0.0060834191023851295
gender,0.005965186864314893
PhoneService,0.0038439289240782912
